endorser_key,endorser,party,method
cleo fields,Cleo Fields,D,descriptor+roster
cliff bentz,Cliff Bentz,R,descriptor+roster
clint crowe,Clint Crowe,R,wikipedia categories
coleman young ii,Coleman Young II,D,wikipedia categories
colin allred,Colin Allred,D,descriptor+roster
collin peterson,Collin Peterson,D,descriptor+roster
colorado republican party,Colorado Republican Party,R,wikipedia categories
connecticut democratic party,Connecticut Democratic Party,D,wikipedia categories
connecticut republican party,Connecticut Republican Party,R,wikipedia categories
connie lawson,Connie Lawson,R,wikipedia categories
connie mack iii,Connie Mack III,R,descriptor+roster
connie mack iv,Connie Mack IV,R,descriptor+roster
conor lamb,Conor Lamb,D,statewide fallback
cori bush,Cori Bush,D,descriptor+roster
corley ellis,Corley Ellis,R,wikipedia categories
cory booker,Cory Booker,D,descriptor+roster
cory gardner,Cory Gardner,R,descriptor+roster
cory maloy,Cory Maloy,R,wikipedia categories
cory mason,Cory Mason,D,wikipedia categories
cory mills,Cory Mills,R,descriptor+roster
craig a gagnon,Craig Gagnon,R,wikipedia categories
craig benson,Craig Benson,R,wikipedia categories
craig blair,Craig Blair,R,wikipedia categories
craig goldman,Craig Goldman,R,descriptor+roster
craig l rice,Craig L. Rice,D,wikipedia categories
creigh deeds,Creigh Deeds,D,wikipedia categories
cresent hardy,Cresent Hardy,R,descriptor+roster
cruz bustamante,Cruz Bustamante,D,wikipedia categories
crystal peoples stokes,Crystal D. Peoples-Stokes,D,wikipedia categories
curren price,Curren Price,D,wikipedia categories
curt hagman,Curt Hagman,R,wikipedia categories
cynthia lummis,Cynthia Lummis,R,wikipedia categories
cynthia mckinney,Cynthia McKinney,D,descriptor+roster
cynthia neeley,Cynthia Neeley,D,wikipedia categories
cynthia stone creem,Cynthia Stone Creem,D,wikipedia categories
cynthia willard lewis,Cynthia Willard-Lewis,D,wikipedia categories
dale strong,Dale Strong,R,descriptor+roster
damon thayer,Damon Thayer,R,wikipedia categories
dan bishop,Dan Bishop,R,descriptor+roster
dan brady illinois politician,Dan Brady,R,wikipedia categories
dan burton,Dan Burton,R,descriptor+roster
dan crenshaw,Dan Crenshaw,R,descriptor+roster
dan deasy,Dan Deasy,D,wikipedia categories
dan dockstader,Dan Dockstader,R,wikipedia categories
dan donahue,Daniel Donahue,D,wikipedia categories
dan frankel american politician,Dan Frankel,D,wikipedia categories
dan goldman,Dan Goldman,D,descriptor+roster
dan kapanke,Dan Kapanke,R,wikipedia categories
dan kildee,Dan Kildee,D,descriptor+roster
dan knodl,Dan Knodl,R,wikipedia categories
dan meuser,Dan Meuser,R,descriptor+roster
dan meyer wisconsin politician,Dan Meyer,R,wikipedia categories
dan moul,Dan Moul,R,wikipedia categories
dan newberry,Dan Newberry,R,wikipedia categories
dan newhouse,Dan Newhouse,R,descriptor+roster
dan patrick politician,Dan Patrick,R,wikipedia categories
dan quart,Dan Quart,D,wikipedia categories
dan ramos,Dan Ramos,D,wikipedia categories
dan rayfield,Dan Rayfield,D,wikipedia categories
dan saddler,Dan Saddler,R,wikipedia categories
dan schooff,Dan Schooff,D,wikipedia categories
dan stec,Dan Stec,R,wikipedia categories
dan sullivan u s senator,Dan Sullivan,R,descriptor+roster
dan troy,Dan Troy,D,wikipedia categories
dan weinberg,Dan Weinberg,D,wikipedia categories
dan wolf,Dan Wolf,D,wikipedia categories
dan wolgamott,Dan Wolgamott,D,wikipedia categories
dana rohrabacher,Dana Rohrabacher,R,descriptor+roster
dana trabulsy,Dana Trabulsy,R,wikipedia categories
daniel biss,Daniel Biss,D,wikipedia categories
daniel j evans,Daniel J. Evans,R,wikipedia categories
daniel j o donnell,Danny O'Donnell,D,wikipedia categories
daniel k webster,Daniel K. Webster,R,wikipedia categories
daniel mccay,Daniel McCay,R,wikipedia categories
daniel mongiardo,Daniel Mongiardo,D,wikipedia categories
daniel perez politician,Daniel Perez,R,wikipedia categories
daniel r benson,Dan Benson,D,wikipedia categories
daniel webster florida politician,Daniel Webster,R,descriptor+roster
danielle conrad,Danielle Conrad,D,wikipedia categories
danny crawford politician,Danny Crawford,R,wikipedia categories
danny davis illinois politician,Danny Davis,D,descriptor+roster
