endorser_key,endorser,party,method
sal didomenico,Sal DiDomenico,D,wikipedia categories
sal pace,Sal Pace,D,wikipedia categories
sally harrell,Sally Harrell,D,wikipedia categories
sally heyman,Sally Heyman,D,wikipedia categories
salud carbajal,Salud Carbajal,D,descriptor+roster
sam brownback,Sam Brownback,R,descriptor+roster
sam coppersmith,Sam Coppersmith,D,descriptor+roster
sam farr,Sam Farr,D,descriptor+roster
sam graves,Sam Graves,R,descriptor+roster
sam liccardo,Sam Liccardo,D,descriptor+roster
sam page missouri politician,Sam Page,D,wikipedia categories
sam singh,Sam Singh,D,wikipedia categories
samuel d thompson,Sam Thompson,R,"wikipedia categories (majority {'D': 1, 'R': 2})"
sandy galef,Sandy Galef,D,wikipedia categories
sandy pasch,Sandy Pasch,D,wikipedia categories
sandy salmon,Sandy Salmon,R,wikipedia categories
sanford bishop,Sanford Bishop,D,descriptor+roster
sara feigenholtz,Sara Feigenholtz,D,wikipedia categories
sarah elfreth,Sarah Elfreth,D,descriptor+roster
sarah huckabee sanders,Sarah Huckabee Sanders,R,wikipedia categories
sarah mcbride,Sarah McBride,D,wikipedia categories
sarah palin,Sarah Palin,R,wikipedia categories
sarah peake,Sarah Peake,D,wikipedia categories
saxby chambliss,Saxby Chambliss,R,descriptor+roster
scott a slater,Scott Slater,D,wikipedia categories
scott brown politician,Scott Brown,R,wikipedia categories
scott clemons,Scott Clemons,D,wikipedia categories
scott fitzgerald politician,Scott Fitzgerald,R,descriptor+roster
scott franklin politician,Scott Franklin,R,descriptor+roster
scott holcomb,Scott Holcomb,D,wikipedia categories
scott krug,Scott Krug,R,wikipedia categories
scott l fitzgerald,Scott L. Fitzgerald,R,descriptor+roster
scott mcinnis,Scott McInnis,R,descriptor+roster
scott oelslager,Scott Oelslager,R,wikipedia categories
scott perry,Scott Perry,R,descriptor+roster
scott peters politician,Scott Peters,D,descriptor+roster
scott sandall,Scott Sandall,R,wikipedia categories
scott stringer,Scott Stringer,D,wikipedia categories
scott taylor politician,Scott Taylor,R,descriptor+roster
scott tipton,Scott Tipton,R,wikipedia categories
scott walker politician,Scott Walker,R,wikipedia categories
scott wilk,Scott Wilk,R,wikipedia categories
sean casten,Sean Casten,D,descriptor+roster
sean duffy,Sean Duffy,R,wikipedia categories
sean garballey,Sean Garballey,D,wikipedia categories
sean mccann politician,Sean McCann,D,wikipedia categories
sean patrick maloney,Sean Patrick Maloney,D,descriptor+roster
sean ryan american politician,Sean Ryan,D,wikipedia categories
selena la rue hatch,Selena La Rue Hatch,D,wikipedia categories
seth magaziner,Seth Magaziner,D,descriptor+roster
seth morgan politician,Seth Morgan,R,wikipedia categories
seth moulton,Seth Moulton,D,descriptor+roster
seth rose,Seth Rose,D,wikipedia categories
shane jett,Shane Jett,R,wikipedia categories
shane wilkin,Shane Wilkin,R,wikipedia categories
shannon lundgren,Shannon Lundgren,R,wikipedia categories
shannon o brien massachusetts politician,Shannon O'Brien,D,wikipedia categories
sharice davids,Sharice Davids,D,descriptor+roster
sharon cooper,Sharon Cooper,R,wikipedia categories
sharon nelson,Sharon Nelson,D,wikipedia categories
sharon quirk silva,Sharon Quirk-Silva,D,wikipedia categories
sharon steckman,Sharon Steckman,D,wikipedia categories
shaunna o connell,Shaunna O'Connell,R,wikipedia categories
shavonda e sumter,Shavonda Sumter,D,wikipedia categories
shavonda sumter,Shavonda Sumter,D,wikipedia categories
sheila harsdorf,Sheila Harsdorf,R,wikipedia categories
sheila jackson lee,Sheila Jackson Lee,D,descriptor+roster
sheldon neeley,Sheldon Neeley,D,wikipedia categories
sheldon whitehouse,Sheldon Whitehouse,D,descriptor+roster
shelley mayer,Shelley Mayer,D,wikipedia categories
shelley moore capito,Shelley Moore Capito,R,descriptor+roster
shelli yoder,Shelli Yoder,D,wikipedia categories
shelly short,Shelly Short,R,wikipedia categories
shenna bellows,Shenna Bellows,D,wikipedia categories
sheri biggs,Sheri Biggs,R,descriptor+roster
sherrod brown,Sherrod Brown,D,descriptor+roster
sherry gay dagnogo,Sherry Gay-Dagnogo,D,wikipedia categories
shirley krug,Shirley Krug,D,wikipedia categories
shirley turner,Shirley Turner,D,wikipedia categories
shontel brown,Shontel Brown,D,descriptor+roster
shri thanedar,Shri Thanedar,D,descriptor+roster
silvana tabares,Silvana Tabares,D,wikipedia categories
smitty pignatelli,Smitty Pignatelli,D,wikipedia categories
sonny perdue,Sonny Perdue,R,"wikipedia categories (majority {'D': 1, 'R': 2})"
south carolina republican party,South Carolina Republican Party,R,wikipedia categories
stan gruszynski,Stan Gruszynski,D,wikipedia categories
stan gustafson,Stan Gustafson,R,wikipedia categories
stefani carter,Stefani Carter,R,wikipedia categories
steny hoyer,Steny Hoyer,D,descriptor+roster
stephanie bice,Stephanie Bice,R,descriptor+roster
stephanie gricius,Stephanie Gricius,R,wikipedia categories
stephanie kifowit,Stephanie Kifowit,D,wikipedia categories
stephanie murphy,Stephanie Murphy,D,descriptor+roster
stephen b kaufman,Stephen Kaufman,D,wikipedia categories
stephen f lynch,Stephen F. Lynch,D,descriptor+roster
stephen fincher,Stephen Fincher,R,descriptor+roster
stephen goldfinch,Stephen Goldfinch,R,wikipedia categories
stephen hawley,Stephen Hawley,R,wikipedia categories
stephen kinsey,Stephen Kinsey,D,wikipedia categories
stephen nass,Stephen Nass,R,wikipedia categories
stephen stepanek,Stephen Stepanek,R,wikipedia categories
stephen sweeney,Stephen Sweeney,D,wikipedia categories
steve bullock american politician,Steve Bullock,D,wikipedia categories
steve buyer,Steve Buyer,R,descriptor+roster
steve chabot,Steve Chabot,R,descriptor+roster
steve clouse,Steve Clouse,R,wikipedia categories
steve cohen politician,Steve Cohen,D,descriptor+roster
steve daines,Steve Daines,R,descriptor+roster
steve doyle wisconsin politician,Steve Doyle,D,wikipedia categories
steve englebright,Steve Englebright,D,wikipedia categories
steve gooch,Steve Gooch,R,wikipedia categories
steve grossman politician,Steve Grossman,D,wikipedia categories
steve haugaard,Steve Haugaard,R,wikipedia categories
steve hobbs washington politician,Steve Hobbs,D,wikipedia categories
steve huffman ohio politician,Steve Huffman,R,wikipedia categories
steve hurst,Steve Hurst,R,wikipedia categories
steve israel,Steve Israel,D,descriptor+roster
steve kagen,Steve Kagen,D,descriptor+roster
steve king,Steve King,R,descriptor+roster
steve kraus,Steve Kraus,R,wikipedia categories
steve largent,Steve Largent,R,descriptor+roster
steve lathrop,Steve Lathrop,D,wikipedia categories
steve santarsiero,Steve Santarsiero,D,wikipedia categories
steve scalise,Steve Scalise,R,descriptor+roster
steve schuh,Steve Schuh,R,wikipedia categories
steve simon,Steve Simon,D,wikipedia categories
steve sodders,Steve Sodders,D,wikipedia categories
steve tarvin,Steve Tarvin,R,wikipedia categories
steve toth,Steve Toth,R,wikipedia categories
steve womack,Steve Womack,R,descriptor+roster
steven cymbrowitz,Steven Cymbrowitz,D,wikipedia categories
steven holt,Steven Holt,R,wikipedia categories
steven horsford,Steven Horsford,D,descriptor+roster
steven j lund politician,Steven Lund,R,wikipedia categories
steven landek,Steven Landek,D,wikipedia categories
steven otis,Steve Otis,D,wikipedia categories
steven palazzo,Steven Palazzo,R,descriptor+roster
sue helm,Sue Helm,R,wikipedia categories
sue rezin,Sue Rezin,R,wikipedia categories
suhas subramanyam,Suhas Subramanyam,D,descriptor+roster
sukhee kang,Sukhee Kang,D,wikipedia categories
summer lee,Summer Lee,D,descriptor+roster
susan brooks,Susan Brooks,R,descriptor+roster
susan c lee,Susan C. Lee,D,wikipedia categories
susan collins,Susan Collins,R,descriptor+roster
susan combs,Susan Combs,R,wikipedia categories
susan holmes politician,Susan Holmes,R,wikipedia categories
susan manchester,Susan Manchester,R,wikipedia categories
susan turnbull,Susan Turnbull,D,wikipedia categories
susan webber politician,Susan Webber,D,wikipedia categories
susan wild,Susan Wild,D,descriptor+roster
susana mendoza,Susana Mendoza,D,wikipedia categories
susanne shore,Susanne Shore,R,wikipedia categories
susie lee,Susie Lee,D,descriptor+roster
suzan delbene,Suzan DelBene,D,descriptor+roster
suzanne bonamici,Suzanne Bonamici,D,descriptor+roster
suzanne crouch,Suzanne Crouch,R,wikipedia categories
sydney kamlager dove,Sydney Kamlager-Dove,D,descriptor+roster
sylleste davis,Sylleste Davis,R,wikipedia categories
sylvia garcia,Sylvia Garcia,D,descriptor+roster
sylvia larsen,Sylvia Larsen,D,wikipedia categories
t j rooney,T.J. Rooney,D,wikipedia categories
tackey chan,Tackey Chan,D,wikipedia categories
taffy howard,Taffy Howard,R,wikipedia categories
talmadge branch,Talmadge Branch,D,wikipedia categories
tammy baldwin,Tammy Baldwin,D,descriptor+roster
tammy duckworth,Tammy Duckworth,D,descriptor+roster
tammy townley,Tammy Townley,R,wikipedia categories
tammy west,Tammy West,R,wikipedia categories
tanya cook,Tanya Cook,D,wikipedia categories
tate reeves,Tate Reeves,R,wikipedia categories
ted budd,Ted Budd,R,descriptor+roster
ted cruz,Ted Cruz,R,descriptor+roster
ted kulongoski,Ted Kulongoski,D,wikipedia categories
ted lieu,Ted Lieu,D,descriptor+roster
ted poe,Ted Poe,R,descriptor+roster
ted strickland,Ted Strickland,D,wikipedia categories
ted yoho,Ted Yoho,R,descriptor+roster
teresa fedor,Teresa Fedor,D,wikipedia categories
teresa leger fernandez,Teresa Leger Fernandez,D,descriptor+roster
teresa tanzi,Teresa Tanzi,D,wikipedia categories
terrance carroll,Terrance Carroll,D,wikipedia categories
terri bryant,Terri Bryant,R,wikipedia categories
terri collins,Terri Collins,R,wikipedia categories
terri sewell,Terri Sewell,D,descriptor+roster
terry branstad,Terry Branstad,R,wikipedia categories
terry fields florida politician,Terry Fields,D,wikipedia categories
terry johnson ohio politician,Terry Johnson,R,wikipedia categories
terry mcauliffe,Terry McAuliffe,D,wikipedia categories
terry meza,Terry Meza,D,wikipedia categories
terry o donnell politician,Terry O'Donnell,R,wikipedia categories
terry rice,Terry Rice,R,wikipedia categories
thaddeus jones politician,Thaddeus Jones,D,wikipedia categories
thelma drake,Thelma Drake,R,descriptor+roster
theresa gavarone,Theresa Gavarone,R,wikipedia categories
therese murray,Therese Murray,D,wikipedia categories
thom tillis,Thom Tillis,R,descriptor+roster
thomas a loftus,Thomas Loftus,D,wikipedia categories
thomas dinapoli,Thomas DiNapoli,D,wikipedia categories
thomas duane,Thomas Duane,D,wikipedia categories
thomas f hartnett,Thomas F. Hartnett,R,descriptor+roster
thomas g courtney,Thomas G. Courtney,D,wikipedia categories
thomas j murphy jr,Thomas J. Murphy Jr.,D,wikipedia categories
thomas jeneary,Thomas Jeneary,R,wikipedia categories
thomas kean,Thomas Kean,R,wikipedia categories
thomas kean jr,Thomas Kean Jr.,R,descriptor+roster
thomas massie,Thomas Massie,R,descriptor+roster
thomas suozzi,Thomas Suozzi,D,descriptor+roster
tiara mack,Tiara Mack,D,wikipedia categories
tick segerblom,Tick Segerblom,D,wikipedia categories
tiffany esposito,Tiffany Esposito,R,wikipedia categories
tim ackert,Tim Ackert,R,wikipedia categories
tim bishop,Tim Bishop,D,descriptor+roster
tim briggs politician,Tim Briggs,D,wikipedia categories
tim burchett,Tim Burchett,R,descriptor+roster
tim carpenter,Tim Carpenter,D,wikipedia categories
tim freeman,Tim Freeman,R,wikipedia categories
tim griffin,Tim Griffin,R,wikipedia categories
tim holden,Tim Holden,D,wikipedia categories
tim johnson illinois politician,Tim Johnson,R,descriptor+roster
tim kaine,Tim Kaine,D,descriptor+roster
tim kennedy politician,Tim Kennedy,D,descriptor+roster
tim knopp,Tim Knopp,R,wikipedia categories
tim mcginnis,Tim McGinnis,R,wikipedia categories
tim moore north carolina politician,Tim Moore,R,descriptor+roster
tim pawlenty,Tim Pawlenty,R,wikipedia categories
tim ryan florida politician,Tim Ryan,D,wikipedia categories
tim ryan ohio politician,Tim Ryan,D,descriptor+roster
tim scott,Tim Scott,R,descriptor+roster
tim sheehy,Tim Sheehy,R,descriptor+roster
tim walberg,Tim Walberg,R,descriptor+roster
tim walz,Tim Walz,D,wikipedia categories
tim wirth,Tim Wirth,D,descriptor+roster
timothy j degeeter,Timothy J. DeGeeter,D,wikipedia categories
timothy m kennedy politician,Tim Kennedy,D,wikipedia categories
tina davis,Tina Davis,D,wikipedia categories
tina kotek,Tina Kotek,D,wikipedia categories
tina liebling,Tina Liebling,D,wikipedia categories
tina smith,Tina Smith,D,descriptor+roster
tobias read,Tobias Read,D,wikipedia categories
toby overdorf,Toby Overdorf,R,wikipedia categories
todd gloria,Todd Gloria,D,wikipedia categories
todd hiett,Todd Hiett,R,wikipedia categories
todd jones politician,Todd Jones,R,wikipedia categories
todd kaminsky,Todd Kaminsky,D,wikipedia categories
todd rokita,Todd Rokita,R,wikipedia categories
todd russ,Todd Russ,R,wikipedia categories
todd rutherford,Todd Rutherford,D,wikipedia categories
todd taylor,Todd Taylor,D,wikipedia categories
todd tiahrt,Todd Tiahrt,R,descriptor+roster
todd weiler,Todd Weiler,R,wikipedia categories
todd young,Todd Young,R,descriptor+roster
tom apodaca,Tom Apodaca,R,wikipedia categories
tom barrett wisconsin politician,Tom Barrett,D,wikipedia categories
tom brinkman,Tom Brinkman,R,wikipedia categories
tom butler alabama politician,Tom Butler,D,wikipedia categories
tom carper,Tom Carper,D,descriptor+roster
tom coburn,Tom Coburn,R,wikipedia categories
tom cole,Tom Cole,R,descriptor+roster
tom corbett,Tom Corbett,R,wikipedia categories
tom cotton,Tom Cotton,R,descriptor+roster
tom davis south carolina politician,Tom Davis,R,wikipedia categories
tom delay,Tom DeLay,R,descriptor+roster
tom delnicki,Tom Delnicki,R,wikipedia categories
tom dermody,Tom Dermody,R,wikipedia categories
tom emmer,Tom Emmer,R,descriptor+roster
tom fabricio,Tom Fabricio,R,wikipedia categories
tom harkin,Tom Harkin,D,descriptor+roster
tom hucker,Tom Hucker,D,wikipedia categories
tom j dugger,Tom J. Dugger,R,wikipedia categories
tom kirby politician,Tom Kirby,R,wikipedia categories
tom lackey,Tom Lackey,R,wikipedia categories
tom lee florida politician,Tom Lee,R,wikipedia categories
tom lubnau,Tom Lubnau,R,wikipedia categories
tom malinowski,Tom Malinowski,D,descriptor+roster
tom marino,Tom Marino,R,descriptor+roster
tom mcclintock,Tom McClintock,R,descriptor+roster
tom mcmillen,Tom McMillen,D,descriptor+roster
tom mcmillin,Tom McMillin,R,wikipedia categories
tom moore politician,Thomas Moore,R,wikipedia categories
tom morrison illinois politician,Tom Morrison,R,wikipedia categories
tom nelson wisconsin politician,Tom Nelson,D,wikipedia categories
tom o dea politician,Tom O'Dea,R,wikipedia categories
tom o halleran,Tom O'Halleran,D,descriptor+roster
tom osborne,Tom Osborne,R,descriptor+roster
tom perriello,Tom Perriello,D,wikipedia categories
tom reed politician,Tom Reed,R,descriptor+roster
tom rice,Tom Rice,R,descriptor+roster
tom ridge,Tom Ridge,R,wikipedia categories
tom rossin,Tom Rossin,D,wikipedia categories
tom schamberg,Tom Schamberg,D,wikipedia categories
tom sherman politician,Tom Sherman,D,wikipedia categories
tom suozzi,Tom Suozzi,D,descriptor+roster
tom tancredo,Tom Tancredo,R,descriptor+roster
tom tiffany,Tom Tiffany,R,descriptor+roster
tom udall,Tom Udall,D,wikipedia categories
tom umberg,Tom Umberg,D,wikipedia categories
tom vilsack,Tom Vilsack,D,wikipedia categories
tom wolf,Tom Wolf,D,wikipedia categories
tom young jr,Tom Young,R,wikipedia categories
tommy pope politician,Tommy Pope,R,wikipedia categories
tommy thompson,Tommy Thompson,R,wikipedia categories
tommy tuberville,Tommy Tuberville,R,descriptor+roster
toni atkins,Toni Atkins,D,wikipedia categories
toni hasenbeck,Toni Hasenbeck,R,wikipedia categories
toni preckwinkle,Toni Preckwinkle,D,wikipedia categories
tony caplan,Tony Caplan,D,wikipedia categories
tony cardenas,Tony Cárdenas,D,descriptor+roster
tony coelho,Tony Coelho,D,descriptor+roster
tony earl,Tony Earl,D,wikipedia categories
tony gonzales,Tony Gonzales,R,descriptor+roster
tony hill politician,Tony Hill,D,wikipedia categories
tony knowles politician,Tony Knowles,D,wikipedia categories
tony perkins politician,Tony Perkins,R,wikipedia categories
tony ross politician,Tony Ross,R,wikipedia categories
tony tinderholt,Tony Tinderholt,R,wikipedia categories
tony wied,Tony Wied,R,descriptor+roster
tracey mann,Tracey Mann,R,descriptor+roster
traci koster,Traci Koster,R,wikipedia categories
travis moore politician,Travis Moore,R,wikipedia categories
travis tranel,Travis Tranel,R,wikipedia categories
trent franks,Trent Franks,R,descriptor+roster
trent kelly,Trent Kelly,R,descriptor+roster
trevor lee politician,Trevor Lee,R,wikipedia categories
trey kelley,Trey Kelley,R,wikipedia categories
tricia farley bouvier,Tricia Farley-Bouvier,D,wikipedia categories
troy balderson,Troy Balderson,R,descriptor+roster
troy carter politician,Troy Carter,D,descriptor+roster
troy downing,Troy Downing,R,descriptor+roster
troy jackson,Troy Jackson,D,wikipedia categories
troy nehls,Troy Nehls,R,descriptor+roster
tulsi gabbard,Tulsi Gabbard,D,descriptor+roster
tyler august,Tyler August,R,wikipedia categories
tyler harper,Tyler Harper,R,wikipedia categories
tyler olson politician,Tyler Olson,D,wikipedia categories
tyler sirois,Tyler Sirois,R,wikipedia categories
utah democratic party,Utah Democratic Party,D,wikipedia categories
utah republican party,Utah Republican Party,R,wikipedia categories
val demings,Val Demings,D,descriptor+roster
val hoyle,Val Hoyle,D,descriptor+roster
valerie foushee,Valerie Foushee,D,descriptor+roster
van h wanggaard,Van H. Wanggaard,R,wikipedia categories
van wanggaard,Van Wanggaard,R,wikipedia categories
vance wilkins,Vance Wilkins,R,wikipedia categories
vanessa gibson,Vanessa Gibson,D,wikipedia categories
velmanette montgomery,Velmanette Montgomery,D,wikipedia categories
vermont democratic party,Vermont Democratic Party,D,wikipedia categories
vern buchanan,Vern Buchanan,R,descriptor+roster
vernon jones,Vernon Jones,D,wikipedia categories
vernon smith indiana politician,Vernon Smith,D,wikipedia categories
veronica escobar,Veronica Escobar,D,descriptor+roster
vicente gonzalez american politician,Vicente Gonzalez,D,descriptor+roster
vicky hartzler,Vicky Hartzler,R,descriptor+roster
victor gaston,Victor Gaston,R,wikipedia categories
victoria spartz,Victoria Spartz,R,descriptor+roster
vince fong,Vince Fong,R,descriptor+roster
vincent b dixie,Vincent B. Dixie,D,wikipedia categories
vincent candelora,Vincent Candelora,R,wikipedia categories
vincent dixie,Vincent Dixie,D,wikipedia categories
vincent hughes,Vincent Hughes,D,wikipedia categories
virgil bernero,Virgil Bernero,D,wikipedia categories
virginia foxx,Virginia Foxx,R,descriptor+roster
wally horn,Wally Horn,D,wikipedia categories
walt brooks,Walt Brooks,R,wikipedia categories
walt minnick,Walt Minnick,D,wikipedia categories
warren davidson,Warren Davidson,R,descriptor+roster
washington state republican party,Washington State Republican Party,R,wikipedia categories
wayne allard,Wayne Allard,R,descriptor+roster
wayne allyn root,Wayne Allyn Root,L,wikipedia categories
wayne d fontana,Wayne Fontana,D,wikipedia categories
wayne gilchrest,Wayne Gilchrest,R,descriptor+roster
wayne r parry,Wayne R. Parry,R,wikipedia categories
wayne rosenthal politician,Wayne Rosenthal,R,wikipedia categories
wayne scott,Wayne Scott,R,wikipedia categories
wendell gilliard,Wendell Gilliard,D,wikipedia categories
wendell r beitzel,Wendell R. Beitzel,R,wikipedia categories
wendy davis politician,Wendy Davis,D,wikipedia categories
wes climer,Wes Climer,R,wikipedia categories
wesley bell,Wesley Bell,D,descriptor+roster
wesley hunt,Wesley Hunt,R,descriptor+roster
weston newton,Weston Newton,R,wikipedia categories
wiley nickel,Wiley Nickel,D,descriptor+roster
will barclay,Will Barclay,R,wikipedia categories
will brownsberger,Will Brownsberger,D,wikipedia categories
will davis illinois politician,Will Davis,D,wikipedia categories
will robinson florida politician,Will Robinson,R,wikipedia categories
william a barclay,William A. Barclay,R,wikipedia categories
william a marovitz,William Marovitz,D,wikipedia categories
william barclay new york politician,William Barclay,R,wikipedia categories
william brownsberger,William Brownsberger,D,wikipedia categories
william colton,William Colton,D,wikipedia categories
william dolan,William Dolan,D,wikipedia categories
william lamberth,William Lamberth,R,wikipedia categories
william m straus,William M. Straus,D,wikipedia categories
william s cogswell jr,William Cogswell,R,wikipedia categories
william timmons,William Timmons,R,descriptor+roster
william timmons politician,William Timmons,R,descriptor+roster
william tong,William Tong,D,wikipedia categories
willie brown politician,Willie Brown,D,wikipedia categories
wilton simpson,Wilton Simpson,R,wikipedia categories
winsome earle sears,Winsome Earle-Sears,R,wikipedia categories
winsome sears,Winsome Sears,R,wikipedia categories
winston gardner jr,Winston Gardner Jr.,D,wikipedia categories
working families party,Working Families Party,WF,wikipedia categories
wyoming republican party,Wyoming Republican Party,R,wikipedia categories
yassamin ansari,Yassamin Ansari,D,descriptor+roster
yusuf hakeem,Yusuf Hakeem,D,wikipedia categories
yvette clarke,Yvette Clarke,D,descriptor+roster
yvette herrell,Yvette Herrell,R,descriptor+roster
zach nunn,Zach Nunn,R,descriptor+roster
zach wamp,Zach Wamp,R,descriptor+roster
zack space,Zack Space,D,descriptor+roster
zoe lofgren,Zoe Lofgren,D,descriptor+roster
