race_id,person,bioguide,party,is_incumbent,event_type,event_date,known_by,date_basis,incumbent_on_ballot_after,source_url,notes,_confidence,_left_censored,_right_censored,_resolution_days,_days_present,_gaps,_last_seen,_pages,_section,_race_why,_evidence,_flag,_suggested_action,_needs_human
HOU_CA_14_2026,Eric Swalwell,,,,seeking_other_office,,2025-11-21,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,,1,129,0,2026-04-11,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# CA-14: Eric Swalwell is retiring to run for governor of California.,,,
HOU_TX_22_2026,Troy Nehls,,,,retiring,,2025-11-29,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings; https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,217,0,2026-08-23,2026 United States House of Representatives election ratings; 2026 United States House of Representatives elections,Election ratings > Latest published ratings for competitive seats; Retirements > Republican,ushr template,# TX-22: Troy Nehls is retiring.,,,
HOU_TX_30_2026,Jasmine Crockett,,,,seeking_other_office,,2025-12-08,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,168,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# TX-30: Jasmine Crockett is retiring to run for the U.S. Senate.,,,
HOU_TX_33_2026,Marc Veasey,,,,seeking_other_office,,2025-12-08,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,,1,8,0,2025-12-15,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# TX-33: Marc Veasey is retiring to run for Tarrant County Judge,has_generic_twin,keep this row; its twin is the drop,
HOU_TX_33_2026,Marc Veasey,,,,retiring,,2025-12-16,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,160,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# TX-33: Marc Veasey is retiring due to redistricting.,generic_duplicate,drop — seeking_other_office on 2025-12-08 says the same thing earlier and with the reason,yes
HOU_WA_04_2026,Dan Newhouse,,,,retiring,,2025-12-17,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings; https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,199,0,2026-08-23,2026 United States House of Representatives election ratings; 2026 United States House of Representatives elections,Election ratings > Latest published ratings for competitive seats; Retirements > Republican,ushr template,# WA-4: Dan Newhouse is retiring.,,,
HOU_WY_01_2026,Harriet Hageman,,,,seeking_other_office,,2025-12-23,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,153,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr at-large (=01),# WY-AL: Harriet Hageman is retiring to run for the U.S. Senate.,,,
GOV_MN_2026,Tim Walz,,,,retiring,,2026-01-05,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_gubernatorial_elections,,high,,yes,4,187,0,2026-08-23,2026 United States gubernatorial elections,Predictions; Race summary > States; Retirements,state name,"! Minnesota | Tim | Walz (retiring) | data-sort-value=""-52.3"" | 52.27% DFL",person_conflict,"two names for this seat and event type: Peggy Bennett, Tim Walz — one is a misread table cell",yes
GOV_MN_2026,Peggy Bennett,,,,retiring,,2026-01-07,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_gubernatorial_elections,,high,,,1,72,0,2026-03-29,2026 United States gubernatorial elections,Race summary > States,state name,! Minnesota | Tim | Walz | DFL | 2018 | data-sort-value=-52.3 | 52.3% DFL | Incumbent retiring | nowrap | {{Plainlist | * Peggy Bennett (Republican),person_conflict,"two names for this seat and event type: Peggy Bennett, Tim Walz — one is a misread table cell",yes
HOU_CA_26_2026,Julia Brownley,,,,retiring,,2026-01-08,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,137,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# CA-26: Julia Brownley is retiring.,,,
